title,category,year,schools,abstract,country,State,Province,awards
Dynamic Response of a Human Neck Replica to Axial-Compression Impact Loading,Energy: Physical,2014,set(),"Purpose: A human neck replica was made to simulate dynamic response to axial loading,  H1. Dynamic loading of neck replica can simulate realistic axial-compression injury to the cervical spine. H2. Severity of measured neck force depends upon impact load and velocity. H3. Neck flexion-extension position affects measured neck force. H4. Simulated neck musculature affects neck stability.

Procedure: Flexible life-sized neck replica was constructed with plastic vertebrae and intervertebral discs, surrogate head, and 5 neck muscle groups were simulated with cables and static weights. Drop tower impactor instrumented with force transducer applied consistent axial loads. Force plate at base of the spine measured response at 5000 sample/sec. Motion analysis of spine segments performed with reflective markers, high-speed camera at 600 fps, and image analysis software. Sensor output amplified, and converted to force (Newtons) using data acquisition system. Neck tested in 5 positions, 2 impact loads, 2 velocities, with low and high tension neck muscles, with minimum of 3 trials per condition. Force, impulse, impulse time, and loading rate in various conditions compared with ANOVA with repeated measures, P<0.05.

Data/Conclusions: Neck model replicated dynamic response of the neck to axial loading. Higher impact magnitude and velocity resulted in higher measured force at the base of the spine. Impact force was much higher in head-down or spear-tackling position. Impact caused extension in middle cervical spine (C2-5) and flexion in upper (C0-2) and lower (C5-7).
 High tension muscles resulted in higher loading rate, shorter impulse time, lower impulse, higher force, and less intersegmental motion.",United States of America,MN,,['nan']
The Effect of Nutrient Solution Concentration on Hydroponic Spinach Plants,Physics and Astronomy,2014,set(),"Studies comparing the mineral nutrition of hydroponically and conventionally grown vegetables have been inconclusive, an advantage of hydroponically grown vegetables is that mineral nutrient concentrations supplied to the plants can be directly controlled. Based on this information an experiment was designed to investigate whether the mineral nutrient content of spinach (Spinacia oleracea) could be increased by increasing the concentration of hydroponic nutrient solutions. Spinach was grown hydroponically using a commercially available nutrient source at 1.0, 2.6, 4.2, and 5.8 times the recommended concentration. Temperature and pH were monitored throughout the growing period. Plants were harvested at maturity. Plant length and mass were measured prior to analysis. Elemental analyses of the nutrient solutions and spinach leaves were performed by ICP-OES and ICP-MS. Speciation of the nutrient solutions was modelled using Visual Minteq. Plant biomass increased with increasing nutrient solution concentration. Free ion activities also increased with increasing nutrient solution concentrations. However, increasing the nutrient solution concentrations did not result in an increase the mineral nutrient concentration in the spinach leaves. The highest spinach leaf concentrations of all nine mineral nutrients investigated occurred in the lowest concentration of nutrient solution. The results illustrate the complex nutrient uptake dynamics of spinach, and that increasing the nutrient content of spinach may not be achieved by simply increasing the nutrient concentration of the growth medium.",United States of America,UT,,['nan']
Do Air Root Pruning Pots Accelerate Success in a No-Till Garden?,Physics and Astronomy,2014,set(),"The purpose of my project was to determine which eco-friendly growing system would produce the best vegetable transplants for a no-till garden.   I chose recyclable air root pruning pots and biodegradable peat pots because these growing systems address consumer demand for product-stewardship or environmentally-conscious products.

The study evaluated the subsequent growth of three vegetable species Solanum lycopersicum, Capsicum annuum, and Solanum melongena in a no-till garden after being propagated in specialized containers which allow for air root pruning compared with biodegradable peat pot production which does not.

Results show that both growing systems produced healthy transplants.  Peat pots produced plants with greater height growth and greater shoot fresh weights and dry weights.  Air root pruning pots produced plants with greater root fresh weights and dry weights.  Once the plants were transplanted in the garden, height growth was about the same for S. lycopersicum and C. annuum.  Height growth was greater in S. melongena grown in air root pruning pots.

Air root pruning growing systems cost about 5 times more than peat pot growing systems, so the use of air root pruning technology for vegetable transplant production may not be cost effective based on these results.  If I were to do a continuation of this project, I would expand my project to include fruit production results.",United States of America,LA,,['nan']
Insect-repelling Plants & New Organic Pesticide,Environmental Engineering,2014,set(),"Organochlorine pesticides in agriculture are not only powerful but also pollute the soil and destroy the ecosystem. As a result, scientists are currently looking for organic pesticides that can repel pests without causing environment pollution and risk to human body. Some plants have a high potential of repelling pests and have evolved to defend themselves from pests. If different organic pesticides were combined, then it would be a better pesticide because of the synergistic effect between these components. Individual plant extracts from pyrethrum, tobacco, garlic, and red pepper were tested on how fast it killed the crickets. The median lethal dose (LD50) which indicated the potency of the organic pesticides for pyrethrum, tobacco, red pepper and garlic was 0.42, 4.93, 20, and 50 respectively. Pyrethrum had the highest potency followed by tobacco, red pepper, and garlic. The sum of the individual death rate of crickets in tobacco which was 3 and pyrethrum which was 36 was less than the death rate of 84 caused by the combination of tobacco and pyrethrum. This indicated a synergistic effect between tobacco and pyrethrum. Synergistic effect was also seen between red pepper and pyrethrum. Because of its low LD50 and high synergistic effect with other plant extracts, agriculture with pyrethrum pesticides would be eco-friendly and economical. Organic pesticide research is significant to prevent environmental pollution and decrease the effect of bioaccumulative chemicals on humans and other living things. This project will help scientists find better combinations of organic pesticides for practical use in agriculture.",United States of America,TX,,['nan']
How Do Different Factors Affect the Accuracy of Neural Networks in the Binary Decision Making of Cancer Detection?,Earth and Environmental Sciences,2014,set(),"The purpose of this experiment is to determine how different factors affect the accuracy of artificial neural network, specifically for cancer detection.  Every factor tested did lead to a change in the accuracy of the network. 

The factors tested were the rate of learning, use of momentum, and the overall structure of the network. This experiment was performed using a self-written computer program and a data set of the laser fluorescence of colon polyp scans. The test produced two measurements of accuracy but only one is really used for my conclusions. While there was some unpredictability in the data, there were consistent patterns that I based my conclusions upon.

I conclude and my data suggests that a specific learning rate in each type of structure where the accuracy was maximized, as I hypothesized. Unlike my prediction the value was fairly high (above .75). It also appears that this specific rate is inversely proportional to size of the network. While I hypothesized that the momentum that has highest accuracy will be proportional to the rate of learning. Having multiple hidden layers in the network decreased the accuracy, instead of increasing it like I predicted. 

The contributions of this project are an increased understanding of how to build a more accurate artificial neural network and the ability to better predict cancer based on the laser fluoresces of colon polyp scans.",United States of America,MN,,['nan']
Dye Sensitized Solar Cells: New Structures and Components for Greater Efficiency,Engineering Mechanics,2014,set(),"Although fossil fuels have the capacity to power the Earth for decades, solar energy is an essential, environmentally friendly form of renewable energy that can supplement fossil fuel energy. The Dye-Sensitized Solar Cell (DSSC) is a form of renewable energy that relies on excitation of dye electrons to produce electricity; it is structurally versatile, uses a variety of components, and can be integrated into everyday products. The purpose of this project is to analyze various structural and performance aspects of DSSCs. During the study, DSSCs were tested for photo-electric conversion efficiency and practicality in common items. In the experimentation, four different structures of DSSCs were created: Structure “A” was a rigid DSSC with conductive glass electrodes and platinum catalyst, Structure “B” was a rigid DSSC with conductive glass electrodes and carbon nanotube catalyst, Structure “C” was a flexible DSSC with plastic electrodes, and Structure “D” was a fiber DSSC with carbon nanotube yarns. Analysis of the four structures showed that Structure A had significantly greater efficiency with upper standards of 7%. Furthermore, it was concluded that while Structure C had potential applications in certain plastics, Structure D had the greatest real world applications due to potential integration into various textiles. This project proved that DSSCs are the future of solar technology due to relatively high photo-electric conversion efficiency and potential, everyday applications. DSSCs are a new technology with a bright future in the energy industry; given 10-20 years they can make a difference in the economy, environment, and everyday life.",United States of America,TX,,['Fourth Award of $500']
A Novel Method for Determination of Camera Pose Estimation Based on Angle Constraints,Embedded Systems,2014,set(),"The method proposed here solves for the pose of an object and is most applicable in robotics. The calculation of camera pose estimation has been solved in many ways. The general solution involves finding the relationship between the object’s 3D coordinates and the coordinates from a 2D image. This solution yields the pitch, roll, and yaw of the object with respect to the camera, as well the displacement in x, y, and z. With most robotics, roll and yaw are constant because a robot won’t tilt sideways or forwards, therefore pitch is the only unknown within the rotation matrix. The pitch may be calculated through a proportion from the camera’s field of view, therefore constraining the rotation matrix. With this constrained, the problem converts to an algebraic problem, and not a linear transformation problem, thus increasing the speed of the algorithm. The same algorithm used to calculate pitch is used to calculate the angle created from the center of the target to the camera. This sets up a right triangle, and simple trigonometry is used to calculate distance. The final results yields distance on the (X, Y) plane, as well as the pitch of the target.",United States of America,MO,,['nan']
Observational Detection of Solar g-mode Oscillations Using Doppler Velocity Signals,Microbiology,2014,set(),,United States of America,HI,,"['Third Award of $1,000']"
Synthesis of Periodic Mesoporous Organosilicas (PMOs) for Radiotherapeutic and Chemotherapeutic Treatments,Plant Sciences,2014,set(),,United States of America,TX,,"['Second Award of $2,000']"
"A Novel Mathematical Simulation to Study the Dynamics of CD4 Cells, CD8 Cells, and HIV Viral Load",Materials Science,2014,set(),"Human Immunodeficiency Virus (HIV), the virus that causes the acquired immune deficiency syndrome (AIDS), affects more than 1.7 million Americans. This infection results in progressive failure of the immune system and an increased susceptibility to opportunistic infections. HIV targets the T lymphocytes, specifically the CD4 (helper) cells and the CD8 (suppressor) cells, resulting in loss of function and eventually in the death of these cells. This study was undertaken to evaluate the effect of HIV viral load on CD4 T cells and CD8 T cells incorporating a population based model known as SIR model. The three compartments comprising this model were S (susceptible), I (infected), and R (removed i.e., immune or killed). Differential equations were established to study the interactions of HIV viral load, CD4 T cells, and CD8 T cells. These were solved using MATLAB ODE 45 module with a time step of 0.001 days and the results graphed and tabulated. The effect of medications on the HIV viral load and the CD4 T cells were also recorded.  In the presence of CD4 T cells, the HIV viral load was 40,000 copies per mL at 180 days. However, in the presence of CD8 T cells or medications to treat HIV, the viral load remained suppressed and close to baseline at 180 days. Thus, by using a SIR model, the CD8 T cells and medications were found to play a crucial role in suppression of HIV viremia. This has important implications in devising strategies to combat this deadly disease.",United States of America,TX,,['nan']
